date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202022%2020:39:31%20GMT	http://localhost/robots.txt		(from )
20:39:33	195701/195701	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202022%2020:39:31%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/index.html	(from )
20:39:34	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2009%20Mar%202022%2020:39:33%20GMT	http://localhost/wordpress/xmlrpc.php	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/xmlrpc.php	(from http://localhost/wordpress/)
20:39:35	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5d9a7b17d0dc7%22	http://localhost/wordpress/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from http://localhost/wordpress/)
20:39:36	1681/1681	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e44096f91eb55d45a4b42a8f4d2e6d78-gzip%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
20:39:36	95779/95779	---M-Z	200	added ('OK')	text/css	etag:%2217623-5d9cf15905eb8-gzip%22	http://localhost/wordpress/wp-content/et-cache/20/et-divi-dynamic-tb-56-tb-69-20.css?ver=1646858326	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/wp-content/et-cache/20/et-divi-dynamic-tb-56-tb-69-205666.css	(from http://localhost/wordpress/)
20:39:37	1649/1649	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e8f0496f00cd3afa1f679f19ed63456c-gzip%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
20:39:37	822/822	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Mar%202022%2020:39:37%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
20:39:39	2325/2325	---M--	200	added ('OK')	application/json	date:Wed,%2009%20Mar%202022%2020:39:37%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
20:39:39	2393/2393	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Mar%202022%2020:39:39%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	C:/My%20Web%20Sites/portfoliopal/localhost/wordpress/wp-json/oembed/1.0/embedd248	(from http://localhost/wordpress/)
